Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
questBpForestChampion_name,quest,Quest,,,Forest Champion: The Druid,,,Campeon del Bosque: El Druida,,,,,,,,,,
questBpForestChampion_subtitle,quest,Quest,,,Track and kill the Druid of the pine forest,,,Encuentra y mata al Druida del bosque de pinos,,,,,,,,,,
questBpForestChampion_description,quest,Quest,,,"The Druid roams the pine forest, twisting nature against the living. End its reign.",,,"El Druida vaga por el bosque de pinos retorciendo la naturaleza contra los vivos. Termina con su reinado.",,,,,,,,,,
questBpForestChampion_offer,quest,Quest,,,A primal evil stirs in the deep forest.,,,Un mal primigenio se agita en lo profundo del bosque.,,,,,,,,,,
questBpForestChampion_statement,quest,Quest,,,Accept the hunt of the Druid?,,,Aceptar la caza del Druida?,,,,,,,,,,
questBpForestChampion_response,quest,Quest,,,I will hunt it down.,,,Lo voy a cazar.,,,,,,,,,,
questBpForestChampion_completion,quest,Quest,,,The Druid is dead. One champion down. Four to go.,,,El Druida ha muerto. Un campeon menos. Faltan cuatro.,,,,,,,,,,
questBpForestChampion_obj_kill,quest,Quest,,,Kill the Druid,,,Mata al Druida,,,,,,,,,,
questBpDesertChampion_name,quest,Quest,,,Desert Champion: Mykir,,,Campeon del Desierto: Mykir,,,,,,,,,,
questBpDesertChampion_subtitle,quest,Quest,,,Travel to the desert and kill Mykir,,,Viaja al desierto y mata a Mykir,,,,,,,,,,
questBpDesertChampion_description,quest,Quest,,,Mykir has risen from beneath the sands. End its terror over the desert.,,,Mykir ha surgido de las arenas. Termina con su terror sobre el desierto.,,,,,,,,,,
questBpDesertChampion_offer,quest,Quest,,,Sandstorms hide an ancient enemy.,,,Las tormentas de arena esconden un enemigo ancestral.,,,,,,,,,,
questBpDesertChampion_statement,quest,Quest,,,Hunt Mykir in the desert?,,,Cazar a Mykir en el desierto?,,,,,,,,,,
questBpDesertChampion_response,quest,Quest,,,I will travel to the desert.,,,Viajare al desierto.,,,,,,,,,,
questBpDesertChampion_completion,quest,Quest,,,Mykir has fallen. Two champions down.,,,Mykir ha caido. Dos campeones menos.,,,,,,,,,,
questBpDesertChampion_obj_kill,quest,Quest,,,Kill Mykir,,,Mata a Mykir,,,,,,,,,,
questBpSnowChampion_name,quest,Quest,,,Snow Champion: Electric Demon Runner,,,Campeon de la Nieve: Demonio Electrico,,,,,,,,,,
questBpSnowChampion_subtitle,quest,Quest,,,Track and kill the Electric Demon in the snow,,,Encuentra y mata al Demonio Electrico en la nieve,,,,,,,,,,
questBpSnowChampion_description,quest,Quest,,,A demon of crackling energy hunts the snowfields. Bring it down.,,,Un demonio de energia crepitante caza en los campos nevados. Aniquilalo.,,,,,,,,,,
questBpSnowChampion_offer,quest,Quest,,,Lightning storms in the snow are no coincidence.,,,Las tormentas electricas en la nieve no son casualidad.,,,,,,,,,,
questBpSnowChampion_statement,quest,Quest,,,Hunt the Electric Demon in the snow?,,,Cazar al Demonio Electrico en la nieve?,,,,,,,,,,
questBpSnowChampion_response,quest,Quest,,,I will end this storm.,,,Terminare con esta tormenta.,,,,,,,,,,
questBpSnowChampion_completion,quest,Quest,,,The Electric Demon is silent forever.,,,El Demonio Electrico calla para siempre.,,,,,,,,,,
questBpSnowChampion_obj_kill,quest,Quest,,,Kill the Electric Demon Runner,,,Mata al Demonio Electrico,,,,,,,,,,
questBpBurntChampion_name,quest,Quest,,,Burnt Forest Champion: Siren Head,,,Campeon del Bosque Quemado: Cabeza de Sirena,,,,,,,,,,
questBpBurntChampion_subtitle,quest,Quest,,,Confront Siren Head in the burnt forest,,,Enfrenta a Cabeza de Sirena en el bosque quemado,,,,,,,,,,
questBpBurntChampion_description,quest,Quest,,,Siren Head haunts the ashes. Its call attracts horrors. Silence it.,,,Cabeza de Sirena acecha entre las cenizas. Su llamado atrae horrores. Hazlo callar.,,,,,,,,,,
questBpBurntChampion_offer,quest,Quest,,,A distant siren echoes from the burnt forest.,,,Una sirena distante resuena desde el bosque quemado.,,,,,,,,,,
questBpBurntChampion_statement,quest,Quest,,,Hunt Siren Head?,,,Cazar a Cabeza de Sirena?,,,,,,,,,,
questBpBurntChampion_response,quest,Quest,,,I will follow the call.,,,Seguire el llamado.,,,,,,,,,,
questBpBurntChampion_completion,quest,Quest,,,Siren Head is silenced.,,,Cabeza de Sirena ha sido silenciado.,,,,,,,,,,
questBpBurntChampion_obj_kill,quest,Quest,,,Kill Siren Head,,,Mata a Cabeza de Sirena,,,,,,,,,,
questBpWastelandChampion_name,quest,Quest,,,Wasteland Champion: Doomlord,,,Campeon del Yermo: Senor del Fin,,,,,,,,,,
questBpWastelandChampion_subtitle,quest,Quest,,,Destroy the Doomlord in the wasteland,,,Destruye al Senor del Fin en el yermo,,,,,,,,,,
questBpWastelandChampion_description,quest,Quest,,,Doomlord rules the wasteland with explosives and minions. Decapitate this army.,,,El Senor del Fin gobierna el yermo con explosivos y secuaces. Decapita este ejercito.,,,,,,,,,,
questBpWastelandChampion_offer,quest,Quest,,,Explosions in the wasteland have a leader.,,,Las explosiones en el yermo tienen un lider.,,,,,,,,,,
questBpWastelandChampion_statement,quest,Quest,,,Take down the Doomlord?,,,Derrotar al Senor del Fin?,,,,,,,,,,
questBpWastelandChampion_response,quest,Quest,,,Time to end this.,,,Hora de terminar con esto.,,,,,,,,,,
